a	/a/
accrus	/akʁy/
accueil	/akœj/
accueillait	/akœjɛ/
accueillant	/akœjɑ̃/
accueillante	/akœjɑ̃t/
accueillantes	/akœjɑ̃t/
accueillants	/akœjɑ̃/
accueille	/akœj/
accueillent	/akœj/
accueillera	/akœjʁa/
accueillerai	/akœjʁɛ/
accueillerais	/akœjʁɛ/
accueillerait	/akœjʁɛ/
accueillerons	/akœjʁɔ̃/
accueilleront	/akœjʁɔ̃/
accueilles	/akœj/
accueillez	/akœje/
accueilli	/akœji/
accueilliez	/akœjje/
accueillir	/akœjiʁ/
accueillis	/akœji/
accueillit	/akœji/
accueillons	/akœjɔ̃/
accueils	/akœj/
acculé	/akyle/
acculée	/akyle/
acculer	/akyle/
acculés	/akyle/
accumulait	/akymylɛ/
accumulant	/akymylɑ̃/
accumulateur	/akymylatœʁ/
accumulateurs	/akymylatœʁ/
accumulation	/akymylasjɔ̃/
accumule	/akymyl/
accumulé	/akymyle/
accumulée	/akymyle/
accumulées	/akymyle/
accumulent	/akymyl/
accumuler	/akymyle/
accumules	/akymyl/
accumulés	/akymyle/
accumulez	/akymyle/
accus	/aky/
accusa	/akyza/
accusaient	/akyzɛ/
accusais	/akyzɛ/
accusait	/akyzɛ/
accusant	/akyzɑ̃/
accusateur	/akyzatœʁ/
accusateurs	/akyzatœʁ/
accusation	/akyzasjɔ̃/
accusations	/akyzasjɔ̃/
accusatrice	/akyzatʁis/
accuse	/akyz/
accusé	/akyze/
accusée	/akyze/
accusées	/akyze/
accusent	/akyz/
accuser	/akyze/
accusera	/akyzəʁa/
accuserai	/akyzəʁɛ/
accuserais	/akyzəʁɛ/
accuserait	/akyzəʁɛ/
accuseront	/akyzəʁɔ̃/
accuses	/akyz/
accusés	/akyze/
accusez	/akyze/
accusiez	/akyzje/
accusons	/akyzɔ̃/
ace	/es/, /ɛs/
acerbe	/asɛʁb/
acéré	/aseʁe/
acérée	/aseʁe/
acérées	/aseʁe/
acérés	/aseʁe/
aces	/es/, /ɛs/
acétate	/asetat/
acétique	/asetik/
acétone	/asetɔn/
acétylène	/asetilɛn/
acharnait	/aʃaʁnɛ/
acharne	/aʃaʁn/
acharné	/aʃaʁne/
acharnée	/aʃaʁne/
acharnées	/aʃaʁne/
acharnement	/aʃaʁnəmɑ̃/
acharnent	/aʃaʁn/
acharner	/aʃaʁne/
acharnes	/aʃaʁn/
acharnés	/aʃaʁne/
acharnez	/aʃaʁne/
achat	/aʃa/
achats	/aʃa/
achemine	/aʃmin/
acheminé	/aʃmine/
acheminement	/aʃminmɑ̃/
acheminer	/aʃmine/
acheminés	/aʃmine/
acheta	/aʃta/
achetaient	/aʃtɛ/
achetais	/aʃtɛ/
achetait	/aʃtɛ/
achetant	/aʃtɑ̃/
achète	/aʃɛt/
acheté	/aʃte/
achetée	/aʃte/
achetées	/aʃte/
achètent	/aʃɛt/
acheter	/aʃte/
achètera	/aʃɛtəʁa/
achèterai	/aʃɛtəʁɛ/
achèteraient	/aʃɛtəʁɛ/
achèterais	/aʃɛtəʁɛ/
achèterait	/aʃɛtəʁɛ/
achèteras	/aʃɛtəʁa/
achetèrent	/aʃtɛʁ/
achèterez	/aʃɛtəʁe/
achèteriez	/aʃɛtəʁje/
achèterons	/aʃɛtəʁɔ̃/
achèteront	/aʃɛtəʁɔ̃/
achètes	/aʃɛt/
achetés	/aʃte/
acheteur	/aʃtœʁ/
acheteurs	/aʃtœʁ/
acheteuse	/aʃtøz/
achetez	/aʃte/
achetiez	/aʃtje/
achetons	/aʃtɔ̃/
acheva	/aʃəva/
achevait	/aʃəvɛ/
achève	/aʃɛv/
achevé	/aʃve/
achevée	/aʃəve/
achevées	/aʃəve/
achèvement	/aʃɛvmɑ̃/
achèvent	/aʃɛv/
achever	/aʃve/
achèvera	/aʃɛvəʁa/
achèverai	/aʃɛvəʁɛ/
achèverait	/aʃɛvəʁɛ/
achevés	/aʃəve/
achèves	/aʃɛv/
achevez	/aʃəve/
achevons	/aʃəvɔ̃/
Achille	/aʃil/
acide	/asid/
acides	/asid/
acidité	/asidite/
acidulée	/asidyle/
acidulés	/asidyle/
acier	/asje/
aciérie	/asjeʁi/
aciéries	/asjeʁi/
aciers	/asje/
acné	/akne/
acolyte	/akɔlit/
acolytes	/akɔlit/
acompte	/akɔ̃t/
acomptes	/akɔ̃t/
aconit	/akɔnit/
acoquiné	/akɔkine/
acoquiner	/akɔkine/
Açores	/asɔʁ/
acoustique	/akustik/
acoustiques	/akustik/
acquéreur	/akeʁœʁ/
acquéreurs	/akeʁœʁ/
acquérir	/akeʁiʁ/
acquiesce	/akjes/
acquiescé	/akjese/
acquiescer	/akjese/
acquiescez	/akjese/
acquis	/aki/
acquise	/akiz/
acquises	/akiz/
acquisition	/akizisjɔ̃/
acquisitions	/akizisjɔ̃/
acquit	/aki/
acquitte	/akit/
acquitté	/akite/
acquittée	/akite/
acquittement	/akitmɑ̃/
acquitter	/akite/
acquittés	/akite/
acre	/akʁ/
âcre	/akʁ/
acres	/akʁ/
acrobate	/akʁɔbat/
acrobates	/akʁɔbat/
acrobatie	/akʁɔbasi/
acrobaties	/akʁɔbasi/
acrobatique	/akʁɔbatik/
acronyme	/akʁɔnim/
acronymes	/akʁɔnim/
acropole	/akʁɔpɔl/
Acropole	/akʁɔpɔl/
acrylique	/akʁilik/
acte	/akt/
actes	/akt/
acteur	/aktœʁ/
acteurs	/aktœʁ/
actif	/aktif/
actifs	/aktif/
action	/aksjɔ̃/
actionnaire	/aksjɔnɛʁ/
actionnaires	/aksjɔnɛʁ/
actionne	/aksjɔn/
actionné	/aksjɔne/
actionner	/aksjɔne/
actionnez	/aksjɔne/
actions	/aksjɔ̃/
activant	/aktivɑ̃/
activateur	/aktivatœʁ/
activation	/aktivasjɔ̃/
active	/aktiv/
